Survivors,Own,Adept
Ace Visconti,Yes,Yes
Adam Francis ,Yes,Yes
Ashley J. Williams,Yes,Yes
Cheryl Mason,Yes,Yes
Claudette Morel,Yes,Yes
David King,Yes,Yes
Detective Tapp,Yes,Yes
Dwight Fairfield,Yes,Yes
Elodie Rakoto,Yes,Yes
Felix Richter,Yes,Yes
Feng Min,No,No
Jake Park,Yes,Yes
Jane Romero,Yes,Yes
Jeff Johansen,Yes,Yes
Kate Densin,Yes,Yes
Laurie Strode,Yes,Yes
Meg Thomas,Yes,Yes
Nancy Wheeler,Yes,Yes
Nea Karlsson,Yes,Yes
Quentin Smith,Yes,Yes
Steve Harrington,Yes,Yes
Bill Overbeck,Yes,Yes
Yui Kimura,Yes,Yes
Zarina Kassir,Yes,Yes
,Best Winstreak,Current Winstreak
Escapes:,4,1
